day,average_insolation
2201.1928632162253,72.75882670582604
2202.19295329713,73.82036595357461
2203.193043378034,74.93750416182955
2204.1931334589385,76.11025828399127
2205.1932235398426,77.33862926966296
2206.193313620747,78.6226005521685
2207.1934037016513,79.96213658900037
2208.193493782556,81.35718146382933
2209.19358386346,82.80765755770996
2210.1936739443645,84.31346429630754
2211.193764025269,85.87447697898405
2212.193854106173,87.49054569468922
2213.1939441870777,89.16149432871516
2214.194034267982,90.88711966345919
2215.1941243488864,92.66719057553557
2216.1942144297905,94.50144733072435
2217.194304510695,96.38960097753849
2218.194394591599,98.33133283942493
2219.1944846725037,100.32629410499143
2220.1945747534082,102.37410551503935
2221.1946648343123,104.47435714462294
2222.194754915217,106.62660827789509
2223.194844996121,108.83038737301715
2224.1949350770255,111.08519211408873
2225.1950251579296,113.39048954667601
2226.195115238834,115.74571629329783
2227.1952053197388,118.15027884492477
2228.195295400643,120.6035539244619
2229.1953854815474,123.10488891799113
2230.1954755624515,125.6536023694361
2231.195565643356,128.2489845343345
2232.19565572426,130.89029798826786
2233.1957458051647,133.57677828561077
2234.195835886069,136.30763466420626
2235.1959259669734,139.08205079168184
2236.196016047878,141.89918554916673
2237.196106128782,144.75817384829864
2238.1961962096866,147.65812747747023
2239.1962862905907,150.59813597342813
2240.1963763714953,153.57726751446992
2241.1964664523994,156.59456983158535
2242.196556533304,159.64907113408796
2243.196646614208,162.73978104640406
2244.1967366951126,165.86569155287097
2245.196826776017,169.025777947499
2246.1969168569212,172.2189997859033
2247.197006937826,175.44430183667328
2248.19709701873,178.70061502966638
2249.1971870996344,181.98685739887847
2250.1972771805385,185.30193501760363
2251.197367261443,188.64474292389477
2252.1974573423477,192.0141660343208
2253.1975474232518,195.4090800443024
2254.1976375041563,198.82835231332578
2255.1977275850604,202.27084273353407
2256.197817665965,205.7354045803292
2257.197907746869,209.22088534365506
2258.1979978277736,212.72612753889112
2259.1980879086777,216.24996949621232
2260.1981779895823,219.79124612758278
2261.198268070487,223.34878967045242
2262.198358151391,226.92143040748556
2263.1984482322955,230.50799736162787
2264.1985383131996,234.10731896597233
2265.198628394104,237.71822370793626
2266.1987184750083,241.3395407473337
2267.198808555913,244.97010050804394
2268.198898636817,248.60873524299055
2269.1989887177215,252.25427957225804
2270.199078798626,255.90557099419507
2271.19916887953,259.5614503694944
2272.1992589604347,263.2207623781593
2273.199349041339,266.88235594946997
2274.1994391222433,270.54508466506445
2275.1995292031474,274.20780713517087
2276.199619284052,277.8693873483854
2277.199709364956,281.5286949950441
2278.1997994458607,285.18460576467027
2279.199889526765,288.8360016176899
2280.1999796076693,292.4817710319189
2281.200069688574,296.1208092241991
2282.200159769478,299.7520183476779
2283.2002498503825,303.3743076652619
2284.2003399312866,306.98659369979066
2285.200430012191,310.5878003615932
2286.2005200930957,314.1768590540096
2287.200610174,317.7527087576516
2288.2007002549044,321.3142960941163
2289.2007903358085,324.86057536993667
2290.200880416713,328.39050860164775
2291.200970497617,331.9030655228145
2292.2010605785217,335.3972235740027
2293.201150659426,338.8719678766471
2294.2012407403304,342.32629119188766
2295.201330821235,345.7591938654346
2296.201420902139,349.16968375964626
2297.2015109830436,352.55677617399147
2298.2016010639477,355.9194937551494
2299.2016911448522,359.25686639811437
2300.2017812257563,362.56793113956854
2301.201871306661,365.85173204508845
2302.201961387565,369.1073200915122
2303.2020514684696,372.3337530461653
2304.202141549374,375.53009534439934
2305.202231630278,378.69541796721876
2306.202321711183,381.82879832059825
2307.202411792087,384.929320118329
2308.2025018729914,387.9960732701603
2309.2025919538955,391.02815377711903
2310.2026820348,394.02466363588337
2311.202772115704,396.98471075417154
2312.2028621966087,399.9074088791172
2313.2029522775133,402.79187754062536
2314.2030423584174,405.6372420117441
2315.203132439322,408.44263328808887
2316.203222520226,411.20718808834494
2317.2033126011306,413.93004887791886
2318.2034026820347,416.6103639177171
2319.2034927629393,419.2472873400857
2320.203582843844,421.83997925383096
2321.203672924748,424.3876058802107
2322.2037630056525,426.88933972177097
2323.2038530865566,429.34435976566925
2324.203943167461,431.75185172319533
2325.2040332483652,434.111008306949
2326.20412332927,436.4210295470142
2327.204213410174,438.68112314737647
2328.2043034910785,440.89050488351506
2329.204393571983,443.04839904201594
2330.204483652887,445.15403890274683
2331.2045737337917,447.2066672639129
2332.204663814696,449.20553701002297
2333.2047538956003,451.1499117225273
2334.2048439765044,453.0390663325221
2335.204934057409,454.87228781465865
2336.205024138313,456.6488759209673
2337.2051142192176,458.3681439529884
2338.205204300122,460.0294195702102
2339.2052943810263,461.6320456324362
2340.205384461931,463.1753810732741
2341.205474542835,464.658801801606
2342.2055646237395,466.08170162745296
2343.2056547046436,467.4434932082769
2344.205744785548,468.7436090114166
2345.2058348664527,469.9815022879396
2346.205924947357,471.1566480529378
2347.2060150282614,472.2685440669122
2348.2061051091655,473.3167118126891
2349.20619519007,474.3006974620357
2350.206285270974,475.22007282599446
2351.2063753518787,476.0744362828065
2352.206465432783,476.86341367722457
2353.2065555136874,477.58665918501276
2354.206645594592,478.24385613646365
2355.206735675496,478.834717792899
2356.2068257564006,479.35898807028576
2357.2069158373047,479.8164422043653
2358.2070059182092,480.20688735201196
2359.2070959991133,480.53016312391543
2360.207186080018,480.78614204413896
2361.207276160922,480.9747299326026
2362.2073662418265,481.0958662071142
2363.207456322731,481.14952410215363
2364.207546403635,481.135710802286
2365.2076364845398,481.05446748873
2366.207726565444,480.90586929831824
2367.2078166463484,480.69002519478505
2368.2079067272525,480.40707775302803
2369.207996808157,480.05720285768876
2370.208086889061,479.64060931808126
2371.2081769699657,479.157538402152
2372.2082670508703,478.6082632927775
2373.2083571317744,477.99308847026913
2374.208447212679,477.31234902550347
2375.208537293583,476.56640990854277
2376.2086273744876,475.7556651180207
2377.2087174553917,474.8805368369318
2378.2088075362963,473.9414745207056
2379.208897617201,472.93895394367166
2380.208987698105,471.8734762101642
2381.2090777790095,470.74556673655775
2382.2091678599136,469.55577421057
2383.209257940818,468.3046695340643
2384.2093480217222,466.9928447555144
2385.209438102627,465.6209119980756
2386.209528183531,464.1895023890492
2387.2096182644354,462.6992649961935
2388.20970834534,461.1508657761051
2389.209798426244,459.5449865395259
2390.2098885071487,457.88232393806607
2391.2099785880528,456.16358847652793
2392.2100686689573,454.38950355450663
2393.2101587498614,452.560804540697
2394.210248830766,450.67823788279355
2395.21033891167,448.742560255585
2396.2104289925746,446.75453774935295
2397.210519073479,444.71494510041055
2398.2106091543833,442.6245649651106
2399.210699235288,440.4841872384268
2400.210789316192,438.29460841777603
2401.2108793970965,436.05663101246193
2402.2109694780006,433.77106299883314
2403.211059558905,431.43871732094277
2404.2111496398093,429.06041143624014
2405.211239720714,426.636966905616
2406.2113298016184,424.16920902687025
2407.2114198825225,421.6579665105116
2408.211509963427,419.1040711966138
2409.211600044331,416.50835781129945
2410.2116901252357,413.87166376131364
2411.21178020614,411.1948289650145
2412.2118702870443,408.47869571803653
2413.211960367949,405.72410859181025
2414.212050448853,402.9319143630379
2415.2121405297576,400.10296197221015
2416.2122306106617,397.2381025092151
2417.212320691566,394.33818922405123
2418.2124107724703,391.4040775606873
2419.212500853375,388.43662521207915
2420.212590934279,385.43669219439437
2421.2126810151835,382.4051409384885
2422.212771096088,379.34283639677017
2423.212861176992,376.2506461635015
2424.2129512578967,373.12944060677216
2425.213041338801,369.9800930103205
2426.2131314197054,366.8034797234254
2427.2132215006095,363.60048031725097
2428.213311581514,360.37197774591635
2429.213401662418,357.1188585107364
2430.2134917433227,353.8420128260988
2431.2135818242273,350.5423347854872
2432.2136719051314,347.2207225262124
2433.213761986036,343.8780783914747
2434.21385206694,340.51530908848525
2435.2139421478446,337.1333258412867
2436.2140322287487,333.7330445371583
2437.2141223096532,330.31538586535174
2438.2142123905573,326.8812754471353
2439.214302471462,323.431643955954
2440.2143925523665,319.9674272268504
2441.2144826332706,316.48956635398724
2442.214572714175,312.9990077754933
2443.214662795079,309.4967033446481
2444.214752875984,305.98361038658464
2445.214842956888,302.4606917397241
2446.2149330377924,298.92891578108447
2447.215023118697,295.3892564348492
2448.215113199601,291.84269316337094
2449.2152032805056,288.2902109400003
2450.2152933614097,284.7328002031086
2451.2153834423143,281.1714567906774
2452.2154735232184,277.6071818548669
2453.215563604123,274.0409817560552
2454.215653685027,270.4738679358229
2455.2157437659316,266.90685676836785
2456.215833846836,263.34096938995833
2457.2159239277403,259.777231505955
2458.216014008645,256.21667317502477
2459.216104089549,252.6603285702097
2460.2161941704535,249.10923571649994
2461.2162842513576,245.56443620465217
2462.216374332262,242.02697488096135
2463.2164644131662,238.49789951282924
2464.216554494071,234.97826042987782
2465.2166445749754,231.46911014058685
2466.2167346558795,227.97150292422967
2467.216824736784,224.4864943982021
2468.216914817688,221.01514106066836
2469.2170048985927,217.55849980863107
2470.217094979497,214.11762743153182
2471.2171850604013,210.69358008058262
2472.217275141306,207.287412714057
2473.21736522221,203.90017851889752
2474.2174553031145,200.53292830899883
2475.2175453840186,197.18670990066204
2476.217635464923,193.8625674657797
2477.2177255458273,190.5615408634136
2478.217815626732,187.28466495045743
2479.217905707636,184.03296887232668
2480.2179957885405,180.80747533451571
2481.218085869445,177.60919985619586
2482.218175950349,174.43915000695833
2483.2182660312537,171.29832462802946
2484.218356112158,168.1877130394639
2485.2184461930624,165.1082942347403
2486.2185362739665,162.0610360646552
2487.218626354871,159.04689441221035
2488.218716435775,156.0668123606238
2489.2188065166797,153.1217193565426
2490.2188965975843,150.21253037084824
2491.2189866784884,147.34014505947425
2492.219076759393,144.50544692693956
2493.219166840297,141.70930249536045
2494.2192569212016,138.95256048193738
2495.2193470021057,136.23605098807178
2496.2194370830102,133.56058470333895
2497.2195271639143,130.92695212786157
2498.219617244819,128.33592281660415
2499.2197073257234,125.78824464936585
