"","full_name","name","id","spkid","orbit_id","class","price","profit","spec_B","dv","a","q","e","i","H","moid","moid_ld","moid_jup","BV","UB","epoch","epoch_cal","epoch_mjd","om","n","est_diameter","rms","closeness","per","equinox","albedo","score","tp","n_obs_used","ma","pdes","ad","neo","pha","spec_T","IR","diameter"
"1626","(1999 VQ5)","","bJ99V05Q",3190019,"JPL 3","MCA",29065549,1643081,"Q",13.73863,2.421786,1.374021,0.4326414,39.39101,19.201,0.400216,155.7521,2.05226,NA,NA,2451490,19991107,51489,41.78141,0.2615173,0.495769,0.54233,2654.23,1376.582,"J2000",NA,5.81311e-05,2451514,78,353.5936,"1999 VQ5",3.469551,NA,NA,NA,NA,NA
"1627","(1999 YD)","","bJ99Y00D",3025760,"26","APO",1.567891e-45,2.313815e-46,"Sk",6.322379,2.461934,0.9999697,0.5938275,1.377057,21.1,0.0250613,9.753106,1.40895,NA,NA,2458600,20190427,58600,9.402196,0.2551464,0.2067661,0.45857,3188.658,1410.954,"J2000",NA,3.135783e-57,2458578,99,5.764216,"1999 YD",3.923898,NA,NA,NA,NA,NA
"1628","(2000 AE205)","","bK00AK5E",3029650,"14","APO",1.135837e-46,5.34662e-47,"S",4.251396,1.164572,1.004222,0.1376906,4.459335,23,0.0303014,11.7924,3.86674,NA,NA,2458600,20190427,58600,271.6303,0.7842499,0.08619446,0.47647,6839.268,459.0374,"J2000",NA,2.271674e-58,2458388,80,166.5026,"2000 AE205",1.324923,NA,NA,NA,NA,NA
"1629","(2000 AH205)","","bK00AK5H",3092248,"16","APO",2.266293e-46,2.969162e-47,"Sk",6.733774,1.144428,0.6800204,0.4057989,2.585073,22.5,0.0150991,5.876117,3.85208,NA,NA,2458600,20190427,58600,248.0999,0.8050473,0.1085124,0.43165,3015.027,447.1787,"J2000",NA,4.532585e-58,2458640,67,328.2788,"2000 AH205",1.608836,NA,NA,NA,NA,NA
"1630","(2000 CN33)","","bK00C33N",3034813,"11","AMO",16007395795,1513459231,"X",8.34431,2.601129,1.075629,0.586476,17.6926,19.2,0.0944032,36.73889,1.00063,NA,NA,2458600,20190427,58600,129.5799,0.2349423,0.4959973,0.34881,2696.219,1532.291,"J2000",NA,134.831,2459220,101,214.4816,"2000 CN33",4.12663,NA,NA,NA,NA,NA
"1631","(2000 DO8)","","bK00D08O",3031814,"12","APO",9.44748e-48,1.316982e-48,"S",6.488635,2.472649,0.949212,0.6161154,0.2856349,24.8,0.00385716,1.501091,0.963207,NA,NA,2458600,20190427,58600,94.37672,0.2534897,0.03762525,0.43177,3091.235,1420.176,"J2000",NA,1.889496e-59,2458741,55,324.5101,"2000 DO8",3.996086,NA,NA,NA,NA,NA
"1632","(2000 GV127)","","bK00GC7V",3036336,"11","AMO",2.164293e-44,1.974146e-45,"S",8.602301,2.844269,1.095185,0.6149502,17.86782,19.2,0.0943882,36.73306,0.365589,NA,NA,2458600,20190427,58600,197.1214,0.2054698,0.4959973,0.4695,2681.592,1752.082,"J2000",NA,4.328585e-56,2458612,200,357.727,"2000 GV127",4.593353,NA,NA,NA,NA,NA
"1633","(2000 KL33)","","bK00K33L",3043880,"19","AMO",1.084716e-44,1.390133e-45,"S",6.77052,2.112699,1.203974,0.4301255,6.921916,19.7,0.191694,74.60155,2.21755,NA,NA,2458600,20190427,58600,134.067,0.3209575,0.3939847,0.56039,2965.358,1121.644,"J2000",NA,2.169432e-56,2458479,160,38.88472,"2000 KL33",3.021425,NA,NA,NA,NA,NA
"1634","(2000 WJ10)","","bK00W10J",3076547,"24","AMO",3502036622,373219117,"Xk",7.602468,2.068623,1.119978,0.4585876,16.07337,20.3,0.190025,73.95203,2.30709,NA,NA,2458600,20190427,58600,59.20341,0.3312699,0.298868,0.51175,2768.934,1086.727,"J2000",NA,138.4537,2458442,82,52.51376,"2000 WJ10",3.017268,NA,NA,NA,NA,NA
"1635","(2000 WJ63)","","bK00W63J",3065540,"13","AMO",2.066883e-45,2.414366e-46,"Sq",7.126116,2.837214,1.159876,0.5911918,2.774919,20.9,0.177998,69.27148,0.822292,NA,NA,2458600,20190427,58600,115.1231,0.2062367,0.2267145,0.31122,2844.82,1745.567,"J2000",NA,4.133767e-57,2458859,91,306.7811,"2000 WJ63",4.514551,NA,NA,NA,NA,NA
